Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance
28,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5
46,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25
51,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75
58,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75
75,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5
77,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5
98,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5
102,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5
113,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5
132,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5
159,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25
225,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5
251,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75
264,Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034
278,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25
282,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984
286,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25
288,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5
301,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25
313,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5
321,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5
343,Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,1735.25
350,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25
379,Yes,Points,Postcard,Medium,1,No,High,2,1,3,No,1028.75
403,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,1364.75
413,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,841.75
424,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,4,No,1327.25
448,Yes,Air Miles,Postcard,Low,1,Yes,Low,1,1,4,Yes,1034.75
467,Yes,Cash Back,Letter,Medium,1,No,Low,3,1,4,No,938.25
478,Yes,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1054.75
495,Yes,Points,Postcard,Medium,1,No,High,1,1,2,Yes,612.75
503,Yes,Points,Postcard,Low,1,No,Low,2,1,1,No,1215.75
534,Yes,Cash Back,Postcard,Low,2,Yes,Low,2,1,3,Yes,1097.5
556,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,1070
588,Yes,Points,Postcard,High,1,No,Low,2,1,2,Yes,1126.25
606,Yes,Air Miles,Letter,High,2,Yes,Medium,1,1,4,Yes,175.75
611,Yes,Points,Postcard,Low,1,Yes,Low,1,1,5,No,825.5
619,Yes,Air Miles,Postcard,High,1,No,Low,1,2,5,Yes,259.25
626,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,985.75
632,Yes,Points,Postcard,Medium,2,No,Low,2,1,5,Yes,955.75
635,Yes,Air Miles,Postcard,Medium,1,No,Low,2,2,4,Yes,1124
638,Yes,Air Miles,Postcard,Medium,1,No,Medium,1,1,5,Yes,1014.25
640,Yes,Air Miles,Postcard,Medium,2,Yes,Low,2,1,3,Yes,1074.75
654,Yes,Points,Postcard,High,1,No,Low,1,1,3,Yes,1015.75
658,Yes,Points,Postcard,Low,1,No,Low,2,2,3,No,970.75
661,Yes,Cash Back,Letter,Low,2,No,Low,2,1,4,Yes,1084
662,Yes,Points,Postcard,Low,1,No,Low,2,1,4,Yes,178.5
670,Yes,Points,Letter,Low,1,No,Low,2,1,6,Yes,140
711,Yes,Cash Back,Postcard,Medium,1,No,High,3,1,3,No,978.75
721,Yes,Points,Letter,Medium,1,No,Low,2,1,3,No,259.75
733,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,4,No,1246
739,Yes,Cash Back,Postcard,Medium,1,No,Low,3,1,3,Yes,1002.5
748,Yes,Cash Back,Postcard,Low,1,No,Medium,1,1,3,Yes,998
752,Yes,Air Miles,Letter,Low,2,No,Medium,2,1,3,Yes,1073
792,Yes,Points,Postcard,Medium,2,No,Medium,3,1,4,Yes,1318.5
805,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,5,No,1106.25
813,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,979.5
865,Yes,Points,Postcard,Medium,1,No,Medium,2,2,2,Yes,1380
874,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,812.25
895,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,237
897,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,3,Yes,1076.5
904,Yes,Points,Letter,Medium,1,No,Low,2,1,4,No,734.5
918,Yes,Points,Postcard,Low,1,No,Medium,1,1,3,Yes,1052.5
973,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,1053.5
992,Yes,Points,Postcard,Medium,1,No,Low,4,1,4,No,1294.5
1000,Yes,Points,Postcard,Medium,1,No,Low,3,1,4,Yes,996.75
1047,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,3,Yes,808
1063,Yes,Air Miles,Postcard,High,1,Yes,Low,1,1,4,Yes,1069.75
1067,Yes,Points,Letter,Low,2,Yes,Low,1,1,6,No,1105
1105,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1185
1204,Yes,Points,Letter,Low,1,Yes,Low,3,1,4,Yes,1086.75
1215,Yes,Air Miles,Postcard,Medium,1,Yes,High,1,1,4,Yes,1102.75
1222,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,No,943.75
1254,Yes,Air Miles,Letter,Low,2,No,Medium,2,2,4,No,332
1266,Yes,Points,Letter,Medium,2,Yes,Medium,1,1,3,No,988.75
1267,Yes,Air Miles,Letter,High,1,Yes,Low,2,2,4,Yes,1322.5
1275,Yes,Points,Postcard,Low,1,No,Low,3,1,4,No,677.5
1286,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,Yes,313.75
1287,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,4,Yes,702.25
1289,Yes,Cash Back,Postcard,Low,2,No,Low,2,1,6,Yes,1010
1297,Yes,Cash Back,Postcard,Low,1,Yes,Low,1,1,3,Yes,204.75
1300,Yes,Air Miles,Letter,Medium,2,No,Low,1,1,4,Yes,1406.5
1301,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,Yes,288.5
1313,Yes,Points,Postcard,Low,1,No,High,1,1,3,No,169.5
1348,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,980
1387,Yes,Points,Postcard,Medium,2,No,Low,2,1,3,No,1308.75
1399,Yes,Cash Back,Postcard,Low,2,No,Low,1,2,4,Yes,241.75
1417,Yes,Points,Letter,High,2,No,Low,3,2,5,Yes,1140
1425,Yes,Cash Back,Postcard,Medium,2,No,High,2,1,4,Yes,195.5
1438,Yes,Points,Postcard,Low,1,No,Medium,3,2,3,Yes,1058
1452,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,251.5
1494,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,3,No,1081.25
1496,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,209
1529,Yes,Air Miles,Letter,Medium,1,Yes,High,1,1,2,Yes,947
1547,Yes,Air Miles,Letter,High,1,No,Medium,1,1,3,Yes,1399
1571,Yes,Air Miles,Letter,Low,1,Yes,Low,2,2,3,No,727.5
1586,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,3,Yes,923.75
1595,Yes,Points,Letter,High,1,No,High,2,1,4,Yes,930.5
1619,Yes,Air Miles,Postcard,Low,1,No,High,1,1,5,Yes,876
1659,Yes,Points,Letter,Medium,1,No,Low,1,1,1,No,1420.75
1683,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,5,Yes,1066.5
1704,Yes,Air Miles,Letter,Medium,2,No,Medium,2,1,2,Yes,761
1722,Yes,Cash Back,Letter,Low,1,No,Low,3,1,3,Yes,943
1728,Yes,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,1003
1738,Yes,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,806.25
1745,Yes,Air Miles,Postcard,High,1,No,Medium,1,1,4,No,978.25
1759,Yes,Points,Letter,Medium,1,No,Low,1,1,2,Yes,888.75
1761,Yes,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,No,1609.75
1767,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,5,No,787.25
1777,Yes,Points,Postcard,High,1,Yes,Low,2,1,2,Yes,1310.25
1785,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,3,Yes,252.75
1815,Yes,Air Miles,Letter,Low,1,No,Medium,2,2,5,No,897
1820,Yes,Points,Postcard,Medium,1,No,Medium,3,1,3,Yes,1000.5
1835,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,4,Yes,992
1875,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,1066.25
1896,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1150.75
1913,Yes,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,No,1073
1931,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,5,Yes,949.25
1961,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,968.75
1967,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1275.5
1970,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,710.25
1972,Yes,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,241.25
1982,Yes,Points,Postcard,Low,1,No,Low,3,2,3,No,1156
1987,Yes,Cash Back,Postcard,High,1,No,Low,2,1,2,No,1234.75
2006,Yes,Points,Postcard,Medium,1,No,Low,2,2,4,Yes,1033
2021,Yes,Air Miles,Letter,Medium,1,Yes,Low,1,1,1,No,911.5
2023,Yes,Air Miles,Postcard,Medium,2,No,Low,3,1,3,Yes,1288.75
2048,Yes,Points,Letter,Medium,1,Yes,Low,2,1,3,Yes,1033.75
2062,Yes,Points,Postcard,Low,1,No,Low,3,2,2,No,928
2067,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,4,Yes,1045.75
2100,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,No,106
2118,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,4,Yes,1314.5
2121,Yes,Air Miles,Postcard,High,2,No,Medium,3,2,5,Yes,660.25
2122,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,4,No,210.75
2124,Yes,Points,Postcard,Low,1,No,Low,2,1,5,Yes,1220.75
2141,Yes,Points,Letter,High,1,No,Low,1,1,4,Yes,986
2158,Yes,Points,Letter,Medium,1,No,Low,1,2,3,Yes,241.25
2187,Yes,Points,Postcard,Medium,2,No,High,2,1,2,No,1049
2201,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,5,Yes,1304.75
2204,Yes,Cash Back,Postcard,Low,2,No,Low,4,1,4,Yes,153
2218,Yes,Points,Letter,Low,1,No,Low,2,1,3,No,1481.5
2224,Yes,Points,Letter,Medium,2,No,Medium,1,1,3,No,1046.25
2229,Yes,Points,Letter,Low,1,No,Low,1,1,2,Yes,1009.5
2249,Yes,Points,Letter,Medium,1,No,Low,3,1,3,Yes,813
2255,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,2,3,Yes,886
2286,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,799.5
2303,Yes,Points,Postcard,Medium,2,No,Medium,3,1,6,Yes,1301
2350,Yes,Cash Back,Postcard,Low,1,No,Low,1,2,4,Yes,1466.25
2378,Yes,Points,Postcard,High,1,No,Low,2,1,5,Yes,260.75
2382,Yes,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,1146.75
2412,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1409.75
2431,Yes,Air Miles,Postcard,Low,1,No,Low,2,2,3,Yes,1401.25
2449,Yes,Points,Postcard,Low,1,No,Low,1,2,4,No,1053
2491,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1158
2496,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,Yes,722.75
2530,Yes,Cash Back,Postcard,High,1,No,Low,3,1,5,Yes,232.25
2542,Yes,Cash Back,Postcard,Low,2,No,Low,2,1,3,Yes,1083.5
2558,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,986
2568,Yes,Air Miles,Letter,Medium,1,No,Low,1,2,2,No,849.25
2610,Yes,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,1,No,758.5
2625,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,1,No,201.75
2628,Yes,Points,Letter,High,2,No,Medium,1,1,5,Yes,1766.5
2629,Yes,Cash Back,Letter,Low,1,No,Low,3,1,4,No,948.5
2633,Yes,Air Miles,Postcard,Medium,2,Yes,High,2,1,3,Yes,1193.5
2647,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,2,Yes,629.75
2653,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,949.5
2654,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,1071.5
2684,Yes,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,867
2685,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,1215.5
2715,Yes,Points,Letter,High,1,Yes,Medium,2,1,2,No,1210.75
2719,Yes,Points,Postcard,Low,1,Yes,Medium,1,2,5,No,306.75
2731,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,977.5
2755,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,1191.75
2761,Yes,Points,Postcard,Medium,1,No,Low,1,2,3,Yes,1079
2763,Yes,Air Miles,Letter,Medium,1,No,Medium,1,2,3,No,962.75
2768,Yes,Cash Back,Postcard,Low,1,No,Medium,4,1,5,Yes,318.5
2796,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,1242.5
2802,Yes,Points,Letter,High,1,No,Low,2,2,3,Yes,1193
2824,Yes,Points,Letter,Medium,2,No,Low,2,1,3,Yes,1227.25
2825,Yes,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1321
2838,Yes,Air Miles,Letter,Low,2,No,Low,2,1,2,Yes,1066.75
2847,Yes,Air Miles,Postcard,Low,1,Yes,High,2,2,3,No,1736
2853,Yes,Points,Postcard,Medium,1,No,Low,1,2,2,No,1052.75
2854,Yes,Points,Postcard,Medium,1,No,Low,2,1,3,No,680.5
2870,Yes,Points,Postcard,Low,1,No,Medium,2,2,4,No,1198.75
2898,Yes,Air Miles,Postcard,Low,2,No,Low,3,1,4,No,961.5
2935,Yes,Points,Letter,High,1,No,Low,3,1,4,Yes,1350.75
2955,Yes,Points,Postcard,Low,2,No,High,1,1,4,Yes,686.25
2960,Yes,Air Miles,Letter,Medium,1,No,Low,2,2,3,Yes,1154
2962,Yes,Air Miles,Postcard,Low,1,Yes,Medium,1,1,5,No,1058
2965,Yes,Points,Postcard,Medium,1,No,Low,3,1,3,No,179
2970,Yes,Air Miles,Letter,Medium,1,No,High,2,2,3,Yes,271.75
3034,Yes,Air Miles,Letter,Medium,2,No,Low,3,1,4,No,1054
3036,Yes,Points,Postcard,Low,1,No,Low,4,1,3,Yes,1065.75
3049,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,3,Yes,1166.5
3051,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,3,No,1394.25
3070,Yes,Air Miles,Postcard,High,1,No,Low,2,1,1,Yes,1033.75
3071,Yes,Air Miles,Postcard,Low,3,No,Medium,2,1,4,Yes,
3091,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,4,No,1128.25
3097,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1173.25
3145,Yes,Air Miles,Letter,High,1,Yes,High,4,1,4,Yes,270
3166,Yes,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1034
3194,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,3,No,716.75
3206,Yes,Cash Back,Postcard,Medium,1,Yes,Low,1,1,2,No,952
3228,Yes,Air Miles,Letter,Low,1,No,Medium,3,1,4,Yes,181
3244,Yes,Cash Back,Letter,Medium,1,No,Low,2,2,3,No,898.5
3333,Yes,Points,Postcard,High,1,No,Medium,3,1,4,Yes,1017
3349,Yes,Points,Postcard,Low,2,No,Medium,2,1,3,No,1145.5
3351,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,5,Yes,879
3375,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,866.5
3392,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,No,1138.75
3401,Yes,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1026.5
3411,Yes,Air Miles,Postcard,Low,1,No,Low,1,2,2,Yes,301.25
3419,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,1274.25
3460,Yes,Points,Postcard,Medium,1,No,Low,1,1,3,No,1027
3480,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,291.25
3492,Yes,Cash Back,Postcard,High,1,Yes,Low,2,2,6,Yes,1108.75
3568,Yes,Cash Back,Letter,Low,2,Yes,Low,3,1,3,Yes,808.5
3585,Yes,Points,Postcard,Low,1,No,High,2,1,3,Yes,1221
3613,Yes,Air Miles,Postcard,Medium,2,No,Medium,2,1,2,Yes,1030
3634,Yes,Points,Postcard,Low,1,No,Low,3,1,1,Yes,649
3662,Yes,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,984
3667,Yes,Points,Letter,High,1,No,Low,2,2,2,Yes,1763
3671,Yes,Points,Postcard,Medium,1,No,Medium,2,1,2,Yes,158.5
3687,Yes,Points,Postcard,Medium,2,No,Medium,2,1,4,Yes,1040
3689,Yes,Points,Postcard,Low,1,No,Medium,1,1,3,Yes,951.75
3703,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,No,1098.75
3705,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,1289
3727,Yes,Air Miles,Postcard,Low,1,No,Low,4,1,3,Yes,1247
3741,Yes,Air Miles,Letter,High,1,No,Low,2,1,4,Yes,1295.5
3754,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1366
3772,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,5,Yes,1129.75
3775,Yes,Points,Postcard,Medium,1,No,High,3,1,3,No,946.25
3778,Yes,Points,Postcard,Medium,2,No,Medium,1,1,3,Yes,1000.5
3816,Yes,Points,Letter,High,2,No,Low,1,1,2,No,231.75
3823,Yes,Cash Back,Postcard,Medium,1,No,Low,3,1,4,No,123.5
3832,Yes,Air Miles,Postcard,Low,2,No,Medium,2,2,5,No,234.75
3866,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,1157.25
3872,Yes,Air Miles,Postcard,Low,2,No,Low,1,2,2,No,980.75
3875,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,930
3900,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,1205.25
3915,Yes,Points,Letter,High,1,No,Low,1,1,1,Yes,212
3958,Yes,Points,Letter,Medium,1,Yes,Medium,1,1,4,No,1166
4022,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,4,Yes,1136.5
4039,Yes,Air Miles,Postcard,Medium,2,No,Low,2,1,4,Yes,1264.5
4052,Yes,Cash Back,Postcard,Medium,1,No,Low,2,2,6,Yes,1242.75
4060,Yes,Points,Postcard,Low,1,No,Low,1,1,4,Yes,205.25
4090,Yes,Air Miles,Postcard,Medium,1,No,High,2,2,3,No,931.5
4097,Yes,Points,Postcard,High,1,No,Low,1,1,4,Yes,834.5
4122,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,1314.5
4159,Yes,Points,Postcard,Low,1,No,Low,3,2,3,Yes,860.5
4161,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,5,Yes,1126.5
4183,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,1466.5
4189,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1126.25
4210,Yes,Air Miles,Letter,Medium,1,No,Low,3,2,3,No,230.25
4222,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,No,298.5
